,rarity,rarity_rank
1258,233.64978329287317,1598
1259,107.57914058308862,7930
1260,325.4495376843612,470
1261,180.780437451125,3673
1262,126.80236935584443,7042
1263,156.47211500293847,5169
1264,264.59006341447366,943
1265,80.76387851431055,8641
1266,931.3142120096792,62
1267,199.93508218954545,2712
1268,86.83870793585997,8528
1269,212.49307862111846,2185
1270,213.25170684710253,2147
1271,163.07174758619135,4747
1272,151.6580435912923,5478
1273,98.23206956219101,8234
1274,149.01972984560595,5642
1275,164.47768516713205,4656
1276,151.71971127208317,5476
1277,162.2858158574263,4803
1278,92.83688530894662,8389
1279,179.77219430110603,3719
1280,153.86287461504725,5329
1281,198.05808056170173,2794
1282,161.12730564688354,4885
1283,353.4689402201045,390
1284,181.07680641818223,3650
1285,239.5731203346274,1447
1286,264.06123817513696,952
1287,194.01219481558152,2975
1288,173.27004647247094,4082
1289,83.39966717367123,8601
1290,194.72812242823994,2943
1291,179.7029096419982,3723
1292,388.6163439614502,349
1293,166.51866392862215,4519
1294,133.69575831400164,6610
1295,189.6529673267727,3203
1296,101.57035696534514,8129
1297,165.78289852253306,4563
1298,256.64466395126556,1077
1299,81.8481351747717,8625
1300,132.31372095504403,6699
1301,165.26579667050848,4603
1302,201.79693176997083,2618
1303,163.55767608266171,4717
1304,246.3358548976813,1288
1305,173.71933330335509,4060
1306,118.91502272481472,7459
1307,109.6326468333041,7853
1308,303.59769798520153,555
1309,220.88809442091616,1903
1310,163.04135079572418,4748
1311,151.59257244943265,5483
1312,196.7479392571618,2851
1313,186.02897713783827,3380
1314,218.67980750871274,1970
1315,163.5263580121659,4721
1316,213.93071171747937,2124
1317,275.05169435815566,800
1318,166.87088804518913,4491
1319,534.4139963112855,230
1320,140.91849062791715,6174
1321,59.809786138807056,8832
1322,166.39215555228586,4525
1323,59.26716212171344,8839
1324,214.89694090212095,2095
1325,200.16546770159636,2701
1326,133.7601854703233,6605
1327,185.2817898282309,3419
1328,321.9856349309863,484
1329,146.80494399617925,5796
1330,1572.6215864796095,11
1331,159.26538722752395,4992
1332,372.75830061963626,367
1333,339.2541425132972,420
1334,126.80387595756793,7041
1335,215.65047618734036,2067
1336,869.6199411011197,76
1337,202.68605765450343,2574
1338,184.77401044398277,3453
1339,166.6316114142732,4509
1340,262.4868445950277,977
1341,181.8889429746962,3612
1342,178.96344547484836,3765
1343,284.5407068313755,688
1344,546.5338295167484,217
1345,197.14793689727927,2833
1346,190.97514295042365,3131
1347,155.219318998685,5236
1348,135.9997118571629,6462
1349,214.2734121014178,2115
1350,113.13904384681663,7695
1351,118.61898042632262,7484
1352,209.90178360004478,2283
1353,179.254398374139,3742
1354,137.22230848707883,6393
1355,143.40952086723902,6019
1356,243.61426964415756,1358
1357,84.58643154500946,8580
1358,249.14955585972004,1224
1359,128.15329491336234,6959
1360,126.48045892652672,7068
1361,228.5517456216003,1713
1362,94.2467747201704,8336
1363,120.40501416334565,7378
1364,154.3022781691557,5292
1365,216.0620302047426,2053
1366,137.6518573135542,6372
1367,188.02516109222742,3294
1368,297.1057002902404,588
1369,221.73734580100373,1870
1370,201.51999784530446,2635
1371,85.87885326499365,8550
1372,150.63099258759783,5535
1373,161.7227389795043,4844
1374,165.45586661044456,4587
1375,2082.5351479079236,4
1376,111.88512712291927,7752
1377,140.712965563353,6184
1378,157.74922503149241,5087
1379,174.47183356856186,4017
1380,66.26281820411292,8802
1381,198.16010755052642,2784
1382,113.61420745660095,7667
1383,715.9699043296403,153
1384,291.9268839797818,625
1385,246.56742894689285,1280
1386,88.12177193914796,8495
1387,113.99082903871013,7654
1388,240.11035368415054,1436
1389,162.19264002853782,4807
1390,240.11572173031539,1434
1391,132.71710597747267,6667
1392,245.45154428413963,1307
1393,288.920689097126,653
1394,164.66372364554206,4649
1395,86.81000812770735,8529
1396,251.97385054483544,1180
1397,202.6793375589698,2575
1398,188.20669830049567,3284
1399,258.75157756444753,1031
1400,134.94782734241016,6531
1401,101.02586596826868,8148
1402,142.88404934349364,6060
1403,208.43527241547514,2329
1404,133.9801474845404,6595
1405,197.5153154693267,2817
1406,91.79062551335034,8413
1407,150.54505302033309,5543
1408,213.80879480737798,2128
1409,224.30661788581864,1806
1410,187.18912298296695,3321
1411,246.95173365025033,1274
1412,147.3725797792913,5768
1413,143.5337098612714,6012
1414,145.78320982476274,5864
1415,245.10338261941695,1318
1416,93.27456228241034,8368
1417,201.69906616010886,2622
1418,107.27076604858973,7941
1419,209.39619343105232,2303
1420,599.4563319929447,190
1421,137.26930837506924,6388
1422,133.2569065618938,6630
1423,146.84593867936624,5795
1424,87.51743335423267,8512
1425,92.88850645965287,8385
1426,136.12356635862687,6457
1427,102.90154373614354,8072
1428,202.13029884174017,2600
1429,104.82995373488454,8019
1430,116.74490026970432,7553
1431,101.90522101227474,8118
1432,79.69160030819147,8660
1433,401.3114751998368,342
1434,179.91895879403117,3711
1435,241.50950597954397,1401
1436,153.36889178616025,5361
1437,1246.7212984688597,26
1438,153.71867824799997,5340
1439,126.68896137051505,7055
1440,333.41919937473045,443
1441,162.3407657888431,4800
1442,179.8905052415918,3713
1443,125.01595745801454,7143
1444,191.22037393293272,3113
1445,156.25523271442148,5182
1446,158.39823988398416,5054
1447,153.95170324781293,5321
1448,156.82078979784507,5142
1449,114.37666722496104,7636
1450,104.38111223506979,8033
1451,92.20131832311941,8405
1452,102.61528082273774,8088
1453,182.69683476011903,3572
1454,184.28651765644034,3477
1455,213.174411481609,2152
1456,114.99666075809017,7611
1457,180.8756488476475,3663
1458,252.48556236022938,1162
1459,135.45934403031768,6492
1460,145.9183155334319,5853
1461,242.57382653051002,1384
1462,161.3729145464515,4867
1463,169.89212224736158,4304
1464,107.1139860325514,7948
1465,151.12424017002343,5509
1466,183.07883557282622,3555
1467,284.70408597783285,686
1468,223.99973942848635,1815
1469,200.62724949199122,2678
1470,131.20167337394813,6773
1471,143.92328524998356,5986
1472,211.0396161608026,2241
1473,160.38541035121108,4928
1474,203.17957792948116,2548
1475,190.62349027455556,3161
1476,174.10703499398966,4041
1477,164.0058552433376,4683
1478,156.49767402805105,5167
1479,109.35807682147578,7859
1480,179.33359034666847,3738
1481,262.6559983555503,973
1482,89.36264435764114,8467
1483,194.97132453292622,2929
1484,197.59867158350966,2816
1485,191.1223202168385,3119
1486,241.04849949084846,1412
