Source,Target,Type,Weight,Timeset
0xdf79d424f687acdf388939ec6ade2a37b9329806,0xac431575c4d47ee348ce6d271c7ff1cb64442bb3,Directed,5728.314376181,2021-05-03T17:30:17
0xbff231712560ae7a8773a3969f247ba85359664d,0x6f70f8c55a0a187bee0202f5a85d9b43b5d07296,Directed,6546.64500135,2021-05-03T17:30:50
0xddfdcb21c935e8432a559cf689c83695b27a4177,0xab61cc776cc19af7e99d3ba4539435311fa74e8a,Directed,5728.314376181,2021-05-03T17:30:57
0x5a6e40b29bf20e4f60e7becb571af5ad5796a3c4,0x64f9bfc22e2bb82baaa895317de7b69db423d45f,Directed,7364.975626519,2021-05-03T17:31:28
0xe5c4c41194901047523108bb47eb109781a1a86a,0xabf107de3e01c7c257e64e0a18d60a733aad395d,Directed,5728.314376181,2021-05-03T17:33:25
0x338fd148fa51c6d1e2060bd9ce3c739c920420d0,0x1e7127c81c8a58661a0811f026b6be66533934be,Directed,6219.312751282,2021-05-03T17:34:16
0xe5c4c41194901047523108bb47eb109781a1a86a,0x050ee024a0ffd8b9bd383271835b27dd66c3fec3,Directed,5728.314376181,2021-05-03T17:35:30
0xeb1fbb2d250d7a20ecd76a33c079d7c0b74f965e,0xabf107de3e01c7c257e64e0a18d60a733aad395d,Directed,6873.977251417,2021-05-03T17:37:20
0xb30452beca9c462bc6773582c9e0d70cc60e7321,0xabf107de3e01c7c257e64e0a18d60a733aad395d,Directed,6543.371678849,2021-05-03T17:38:47
0xe5c4c41194901047523108bb47eb109781a1a86a,0xb5ad0344692b9a958dc98a3d2319430b19ff77a5,Directed,5728.314376181,2021-05-03T17:38:59
0x8f903cfc0af3c2ec0d872c57538af5e071544a57,0x4e452623763c5856c900e9aec19f1f5f2b3543cb,Directed,6546.64500135,2021-05-03T17:39:49
0xe5c4c41194901047523108bb47eb109781a1a86a,0xe376b4cc6daff66731a15c64967cbbf31747735a,Directed,5728.314376181,2021-05-03T17:41:45
0x2044f823a42024aa09c1534a14b32fbfb97bc342,0x342c6bfa287ce37b8b53eee0e5b6e6bcbea98c76,Directed,6546.64500135,2021-05-03T17:41:59
0x1d337f7e2974282a4e1567a1af90699f799368d2,0xa6f4fa9840aa6825446c820af6d5eccf9f78ba05,Directed,5564.648251147,2021-05-03T17:43:40
0xfe0fb970566e5ee272692ce8b831f46317de639c,0xabf107de3e01c7c257e64e0a18d60a733aad395d,Directed,8183.306251687,2021-05-03T17:43:53
