Source,Target,Type,Weight,Timeset
0xda6ad74619e62503c4cbefbe02ae05c8f4314591,0x5b20783f4baabd33bb53dd77c9b0459f5701e36a,Directed,198.652152911,2021-05-01T08:12:35
0xda6ad74619e62503c4cbefbe02ae05c8f4314591,0xd61063bbf284043d84959ed03a7ebd30424d8fba,Directed,713.549399823,2021-05-01T08:14:00
0x1d956b86b6c3561509a896cf83a7cc192530b149,0xa6c315021a2fb0c2f61dd7978714916304ff2007,Directed,456.671615887,2021-05-01T08:14:29
0x3e17258a44f938db9803c18c3c762653f5a23e54,0x230d3d9c0f122a11fddf8d63eb9cb567c5b6b994,Directed,171.251855958,2021-05-01T08:14:43
0x8be13ff71224ad525f0474553aa7f8621b856bd4,0x7c5db18fe5954a14715507c8a01faba69aa770d3,Directed,242.60679594,2021-05-01T08:17:50
0xee0d226287f838da6ab7eb10f72bdc14b735c168,0xb16b1a92b9fc6cae3aca2d1c77f9d592a38adff0,Directed,285.419759929,2021-05-01T08:18:25
0x3e17258a44f938db9803c18c3c762653f5a23e54,0x95e8a4792d7e5bf6ce3973184400cc9c37b6ae67,Directed,171.251855958,2021-05-01T08:18:38
0x339ea14d82373cdbd329ad32a1f192d3c5c1efc4,0x1b523dc90a79cf5ee5d095825e586e33780f7188,Directed,456.671615887,2021-05-01T08:20:13
0xa94959d82c3215fcee6bf8f47ebea6ee6c22d641,0x9795a9baac2f17e7c7f11686bc6bc2afc3d84612,Directed,627.923471845,2021-05-01T08:20:54
0x4d1572ea399cfcb0a4b25b364df2c5ba68697e18,0xaea40f4a9897aebc8775f964a6e3000ba258881c,Directed,228.335807944,2021-05-01T08:21:16
0x1d956b86b6c3561509a896cf83a7cc192530b149,0x433c8a73bec1273561e4e2201649de12f20b7d58,Directed,428.129639894,2021-05-01T08:21:37
0xe72eb31b59f85b19499a0f3b3260011894fa0d65,0x1b523dc90a79cf5ee5d095825e586e33780f7188,Directed,2285.711687464,2021-05-01T08:22:39
0x5079ac0ec3848744b48a5ed37216620c03619c01,0x9795a9baac2f17e7c7f11686bc6bc2afc3d84612,Directed,456.671615887,2021-05-01T08:22:39
0xda6ad74619e62503c4cbefbe02ae05c8f4314591,0x9795a9baac2f17e7c7f11686bc6bc2afc3d84612,Directed,713.549399823,2021-05-01T08:23:20
0x230d3d9c0f122a11fddf8d63eb9cb567c5b6b994,0xd973b3a47fe3757cd7f2085412c92b2f51c256b5,Directed,214.064819947,2021-05-01T08:23:22
0x62cb05fc74548cb01b5d6c9c846bd0c06a42be9e,0xe94caa47ab1f93597a9251027b40d9eced977b1f,Directed,185.522843954,2021-05-01T08:23:24
0xa122355892040d2cf7bb3723fc97335377aedb1f,0x91215714613ec4554eadc9563669751cbcf265d0,Directed,371.045687908,2021-05-01T08:25:45
0x1332706a6b68b80c24f7d5fe1d24379c34265e59,0x4e064ddcc82194c12c7ff5712a6e1938aee9abe8,Directed,428.129639894,2021-05-01T08:25:45
0xdc0b3127a71367227311f02fe4dda2a6ccdbae78,0x1b523dc90a79cf5ee5d095825e586e33780f7188,Directed,2857.13960933,2021-05-01T08:26:47
0xee0d226287f838da6ab7eb10f72bdc14b735c168,0xb16b1a92b9fc6cae3aca2d1c77f9d592a38adff0,Directed,285.419759929,2021-05-01T08:28:48
