Source,Target,Type,Weight,Timeset
0xcc3eccf3a756850d02c4c455547ba59f49595565,0xe6c8d6be04a9c4e78062dc3781dd9d4e2b286ff2,Directed,1380.442657496,2021-12-13T17:26:12
0x0ea473507529c0327d982aa568b9f638ccc43f9b,0xb398be36f0f0228e2f18f78800f6abb4ea73124a,Directed,1437.961101558,2021-12-13T17:26:12
0x0c08cf8f1e3cdc6ce4d8176d28fdca2cb9478821,0xe91c4ec4a439ec9d6b11ef8d1df11b35142df7c9,Directed,1150.368881246,2021-12-13T17:26:29
0xc6394b09116b0c651ff1a8b1be520434a1a59329,0x1f675b7b79b2db901efb5ad7a1462b9e731396a0,Directed,1725.55332187,2021-12-13T17:26:37
0x48a5e9562e6f2e6e2908ed96e735af254e2bca84,0x1f675b7b79b2db901efb5ad7a1462b9e731396a0,Directed,1687.207692495,2021-12-13T17:26:37
0xcc3eccf3a756850d02c4c455547ba59f49595565,0x15d7d0ff684ad2cf20ad3cc5e94e77b015fd0c21,Directed,1380.442657496,2021-12-13T17:27:21
0x6185b474e0b955814a2eaec8b5051b3e3447a0e6,0x97618f26046f44135af37417e67d84dbd4fdf926,Directed,1188.714510621,2021-12-13T17:27:21
0xb9a1d5c1a24172fda173888286da453d3a7da28f,0x3568d5e0500058da9d643c9e4ee868c9fa61edb2,Directed,1303.751398746,2021-12-13T17:27:21
0xbe48e92e0696156a3d20343fbe2f93531848a896,0x8854248425470da7bd80a0b1ed2763fea9130579,Directed,1361.269842808,2021-12-13T17:27:21
0x524966ce4d652a7198bec435a258faffe269b43a,0x26358a5caba7ad4314914cd76b97a068cfdd2944,Directed,1342.097028121,2021-12-13T17:27:48
0xb837c4a0d9562c0b75256b9d1f5acc02760a1fcf,0xf6469bde66f170f828f67f49099bd84cb7576083,Directed,1342.097028121,2021-12-13T17:27:48
0xd9c94dba688ffb2f1e53deaff15147aa6454115b,0xf405fb13175776ef10377f949f3229f3b3f814ee,Directed,1380.442657496,2021-12-13T17:27:48
0xd9c00b9cdb1d45cf265d1925eb1d004ee04d9f69,0x9766959d8fd4b1fd2801583a95d8f6fdbccc86bf,Directed,1303.751398746,2021-12-13T17:27:55
0xbe48e92e0696156a3d20343fbe2f93531848a896,0x8854248425470da7bd80a0b1ed2763fea9130579,Directed,1303.751398746,2021-12-13T17:28:06
0xe66e39343d48af67fb1679697fca58b08b638459,0x89e2ad6fd0a0a3dc3f310761be52e246b14e1575,Directed,1265.405769371,2021-12-13T17:28:06
