Source,Target,Type,Weight,Timeset
0xfda34256c604fd3ce717440d240a4b02fdd73b40,0x89f42ccb1b90103a4b886cc8ee01979492808079,Directed,1555.092257635,2021-06-18T23:25:12
0xed1eab31a11fbb57145756dd3e79b2f8347e11b3,0x716ded6892dce2a23b1d8fc9417d5f8131613fd7,Directed,1310.720617149,2021-06-18T23:26:03
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0x65ba4f92d7dfa813ddbd849d9faf38a723dd9b12,Directed,1510.661050274,2021-06-18T23:26:19
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0x3e64014d2d3f0c3a3b0404110cea9060b4565e61,Directed,1332.93622083,2021-06-18T23:27:57
0x8ab83d869f2bc250b781d26f6584fd5c562fdd9d,0xa442ddf27063320789b59a8fdca5b849cd2cdeac,Directed,1310.720617149,2021-06-18T23:29:55
0x10c7f2b4741f5686a42c9fb2002e9e50ca508278,0xfdd3980797820a22e1eda8460c2dec333a9c3ae2,Directed,1221.858202427,2021-06-18T23:30:13
0x6ceca7911c1a4dd84451716b698995324609ad48,0x89f42ccb1b90103a4b886cc8ee01979492808079,Directed,1432.906437392,2021-06-18T23:30:46
0xf05155f792819710da259c103d30e4b70178ea9f,0xc05c4f2bf8c629d6f9f674e6949b6fe54832764e,Directed,1332.93622083,2021-06-18T23:31:49
0x40cbefa58c4b6347a33eeef49358b488b7ca928a,0xddeaec88e4a183f5acc7d7cfd6f69e300bb6d455,Directed,1332.714064793,2021-06-18T23:32:46
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0xc3b5533cfed62c10e8fc04aecbd4bd09312841d0,Directed,1259.402572648,2021-06-18T23:32:46
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0xd61c66607c0ba44172bd5c5f5b7c0fd79d64c6c8,Directed,1244.073806108,2021-06-18T23:33:57
0x92e9b91aa2171694d740e7066f787739ca1af9de,0x63f42bfc17b6ff3a7f487c406b8e006d0d4970c3,Directed,1232.966004268,2021-06-18T23:34:43
0x47eab40da9ec09a1f643444fada59a2f4a61854e,0x9758d844125f93e71939c0b3b121eaa2bb9950cf,Directed,1310.720617149,2021-06-18T23:34:43
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0xba567d6ce93c021e46baa959ffc241fe35a10297,Directed,1132.995787705,2021-06-18T23:34:57
