TOKEN_ID,rarity,last_sale_price,counts
5701,97.56864317917785,3.0,2.0
5702,124.0431504654924,2.7,5.0
5703,95.85522758427788,2.55,4.0
5704,88.03279384098389,1.78,3.0
5705,96.56958459410615,1.1,6.0
5708,130.60113771944248,1.2,3.0
5710,108.86188978941385,1.9495,3.0
5711,181.662254133703,1.98,4.0
5712,130.9551427721697,2.49,5.0
5713,121.46254335850591,1.999,6.0
5714,107.6056148003357,2.05,4.0
5715,123.11230200148708,2.5,2.0
5716,130.35720232190712,2.25,2.0
5717,197.570381017218,2.0,4.0
5718,127.26259515205376,0.145,1.0
5719,116.11067738708189,3.05,3.0
5720,108.07315716736358,2.64,3.0
5721,112.26246632806304,2.79,4.0
5722,129.135518803809,3.44,3.0
5723,260.02705236675024,1.69,3.0
5724,183.48253826336327,1.969,1.0
5725,114.51943514717604,2.49,4.0
5726,108.16035507468652,0.64,3.0
5727,89.41201870793586,0.75,3.0
5728,178.98373810186365,2.1,7.0
5729,144.64370405727635,0.89,7.0
5730,109.28252238422183,2.8,4.0
5731,134.67771792527927,0.18,1.0
5732,220.63882738469746,4.5,2.0
5733,182.01780079956902,2.79,4.0
5734,365.0750115331961,0.0825,2.0
5735,156.07138020051298,2.4801,7.0
5736,110.85872496290696,1.04,5.0
5737,114.86612374526338,1.5,7.0
5738,164.76261346119813,1.48,4.0
5739,110.36903937351266,1.0,2.0
5740,209.24466779594277,0.06,2.0
5741,92.77232389541092,0.14,2.0
5742,224.06767996924296,1.2,3.0
5743,285.3437744701936,1.275,7.0
5744,144.5173424217117,3.0,6.0
5745,182.61989033805747,3.0,1.0
5746,109.18195394760758,1.749,6.0
5747,193.478475532792,1.12,10.0
5748,114.82825638626888,3.5,3.0
5749,207.15378071154632,0.7,2.0
5750,148.7343015729803,2.0,3.0
5751,112.81603525604035,1.64,8.0
5752,209.6475773392716,2.0,2.0
5753,91.0591443899705,2.9,6.0
5754,105.583590511255,0.185,3.0
5755,90.51623979474945,1.75,2.0
5756,101.16786644738403,3.9,4.0
5758,141.58777846934407,1.3,5.0
5759,155.4047416942643,4.88,2.0
5760,262.46916170167367,9.7,2.0
5761,107.05816808444254,3.99,5.0
5762,130.728322569772,3.2,5.0
5763,108.0834786484055,3.0,5.0
5764,140.98260608134612,2.5,1.0
5765,121.00937748713321,2.28,5.0
5766,167.20029358410284,2.68,3.0
5767,163.37713312399546,3.99,3.0
5768,91.42163274204931,1.24,5.0
5769,149.6746425969534,1.9,5.0
5770,165.50297785703594,3.0,1.0
5771,92.63973025734771,3.0,5.0
5772,91.87724550601075,4.0,8.0
5773,123.5776858590292,1.779,2.0
5774,242.24042066170628,1.5,1.0
5775,122.11099463528652,3.5,5.0
5776,111.77228834119704,0.99,1.0
5777,129.01751986692142,1.5,3.0
5778,134.71864962867036,0.5,1.0
5779,113.62939477649277,2.5944,5.0
5780,104.85018197636748,0.96,6.0
5781,177.33297501285907,0.63,2.0
5782,108.57773010342521,3.5,3.0
5783,159.37530226514508,0.7199,2.0
5784,108.20237092058355,1.33,3.0
5785,143.0280123498771,0.975,5.0
5786,133.5250923862285,0.85,2.0
5787,130.15221089603435,0.89,5.0
5788,104.13878382094215,0.84,6.0
5789,114.2164036412592,1.29,12.0
5790,106.84129285297134,0.03,2.0
5791,115.56765244720458,1.38,5.0
5792,113.94063239386804,3.44,7.0
5793,225.77472620067206,1.0,2.0
5794,113.1833067644487,2.495,8.0
5795,136.83007941427485,2.4,4.0
